country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_per_capita ($),generation,GDP_for_year ($)
0,1987,1,0,21,312900,6.71,796,2,2138342396
0,1987,1,2,16,308000,5.19,796,5,2138342396
0,1987,0,0,14,289700,4.83,796,2,2138342396
0,1987,1,5,1,21800,4.59,796,1,2138342396
0,1987,1,1,9,274300,3.28,796,0,2138342396
0,1987,0,5,1,35600,2.81,796,1,2138342396
0,1987,0,2,6,278800,2.15,796,5,2138342396
0,1987,0,1,4,257200,1.56,796,0,2138342396
0,1987,1,4,1,137500,0.73,796,1,2138342396
0,1987,0,3,0,311000,0,796,2,2138342396
0,1987,0,4,0,144600,0,796,1,2138342396
0,1987,1,3,0,338200,0,796,2,2138342396
0,1988,0,5,2,36400,5.49,769,1,2126000000
0,1988,1,0,17,319200,5.33,769,2,2126000000
0,1988,1,5,1,22300,4.48,769,1,2126000000
0,1988,1,2,14,314100,4.46,769,5,2126000000
0,1988,1,4,4,140200,2.85,769,1,2126000000
0,1988,0,0,8,295600,2.71,769,2,2126000000
0,1988,0,4,3,147500,2.03,769,1,2126000000
0,1988,0,1,5,262400,1.91,769,0,2126000000
0,1988,1,1,5,279900,1.79,769,0,2126000000
0,1988,0,2,4,284500,1.41,769,5,2126000000
0,1988,0,3,0,317200,0,769,2,2126000000
0,1988,1,3,0,345000,0,769,2,2126000000
0,1989,1,5,2,22500,8.89,833,1,1959842308
0,1989,1,1,18,283600,6.35,833,0,1959842308
0,1989,1,2,15,318400,4.71,833,5,1959842308
0,1989,1,4,6,142100,4.22,833,1,1959842308
0,1989,1,0,12,323500,3.71,833,2,1959842308
0,1989,0,2,7,288600,2.43,833,5,1959842308
0,1989,0,0,5,299900,1.67,833,2,1959842308
0,1989,0,1,2,266300,0.75,833,0,1959842308
0,1989,0,4,1,149600,0.67,833,1,1959842308
0,1989,0,3,0,321900,0,833,2,1959842308
0,1989,0,5,0,37000,0,833,1,1959842308
0,1989,1,3,0,349700,0,833,2,1959842308
0,1992,1,2,12,343800,3.49,251,0,709452584
0,1992,1,0,9,263700,3.41,251,2,709452584
0,1992,1,4,5,159500,3.13,251,5,709452584
0,1992,1,1,7,245500,2.85,251,0,709452584
0,1992,0,0,7,292400,2.39,251,2,709452584
0,1992,0,1,4,267400,1.5,251,0,709452584
0,1992,0,2,2,323100,0.62,251,0,709452584
0,1992,0,4,1,164900,0.61,251,5,709452584
0,1992,0,3,0,336700,0,251,4,709452584
0,1992,0,5,0,38700,0,251,1,709452584
0,1992,1,3,0,362900,0,251,4,709452584
0,1992,1,5,0,23900,0,251,1,709452584
0,1993,1,0,18,243300,7.4,437,2,1228071038
0,1993,1,4,7,165000,4.24,437,5,1228071038
0,1993,1,5,1,24200,4.13,437,1,1228071038
0,1993,1,1,9,230100,3.91,437,0,1228071038
0,1993,0,0,10,285300,3.51,437,2,1228071038
0,1993,1,2,10,350300,2.85,437,0,1228071038
0,1993,0,1,7,261800,2.67,437,0,1228071038
0,1993,0,2,7,331200,2.11,437,0,1228071038
0,1993,0,4,2,169500,1.18,437,5,1228071038
0,1993,0,3,1,340300,0.29,437,4,1228071038
0,1993,1,3,1,367000,0.27,437,4,1228071038
0,1993,0,5,0,39300,0,437,1,1228071038
0,1994,1,5,2,24600,8.13,697,1,1985673798
0,1994,1,4,11,171400,6.42,697,5,1985673798
0,1994,0,5,2,39900,5.01,697,1,1985673798
0,1994,1,1,6,231400,2.59,697,0,1985673798
