country,year,sex,age,suicides/100k pop,gdp_per_capita ($),generation,GDP_for_year ($),log_rate
0,1987,1,0,6.71,796,2,2138342396,2.042518188
0,1987,1,2,5.19,796,5,2138342396,1.822935087
0,1987,0,0,4.83,796,2,2138342396,1.763017
0,1987,1,5,4.59,796,1,2138342396,1.720979287
0,1987,1,1,3.28,796,0,2138342396,1.45395301
0,1987,0,5,2.81,796,1,2138342396,1.337629189
0,1987,0,2,2.15,796,5,2138342396,1.147402453
0,1987,0,1,1.56,796,0,2138342396,0.940007258
0,1987,1,4,0.73,796,1,2138342396,0.548121409
0,1987,0,3,0,796,2,2138342396,0
0,1987,0,4,0,796,1,2138342396,0
0,1987,1,3,0,796,2,2138342396,0
0,1988,0,5,5.49,769,1,2126000000,1.870262531
0,1988,1,0,5.33,769,2,2126000000,1.845300236
0,1988,1,5,4.48,769,1,2126000000,1.701105101
0,1988,1,2,4.46,769,5,2126000000,1.69744879
0,1988,1,4,2.85,769,1,2126000000,1.348073148
0,1988,0,0,2.71,769,2,2126000000,1.311031877
0,1988,0,4,2.03,769,1,2126000000,1.10856262
0,1988,0,1,1.91,769,0,2126000000,1.068153081
0,1988,1,1,1.79,769,0,2126000000,1.026041596
0,1988,0,2,1.41,769,5,2126000000,0.879626748
0,1988,0,3,0,769,2,2126000000,0
0,1988,1,3,0,769,2,2126000000,0
0,1989,1,5,8.89,833,1,1959842308,2.291524146
0,1989,1,1,6.35,833,0,1959842308,1.994700313
0,1989,1,2,4.71,833,5,1959842308,1.742219024
0,1989,1,4,4.22,833,1,1959842308,1.652497402
0,1989,1,0,3.71,833,2,1959842308,1.549687908
0,1989,0,2,2.43,833,5,1959842308,1.232560261
0,1989,0,0,1.67,833,2,1959842308,0.982078472
0,1989,0,1,0.75,833,0,1959842308,0.559615788
0,1989,0,4,0.67,833,1,1959842308,0.512823626
0,1989,0,3,0,833,2,1959842308,0
0,1989,0,5,0,833,1,1959842308,0
0,1989,1,3,0,833,2,1959842308,0
0,1992,1,2,3.49,251,0,709452584,1.501852702
0,1992,1,0,3.41,251,2,709452584,1.483874689
0,1992,1,4,3.13,251,5,709452584,1.418277407
0,1992,1,1,2.85,251,0,709452584,1.348073148
0,1992,0,0,2.39,251,2,709452584,1.220829921
0,1992,0,1,1.5,251,0,709452584,0.916290732
0,1992,0,2,0.62,251,0,709452584,0.482426149
0,1992,0,4,0.61,251,5,709452584,0.476234179
0,1992,0,3,0,251,4,709452584,0
0,1992,0,5,0,251,1,709452584,0
0,1992,1,3,0,251,4,709452584,0
0,1992,1,5,0,251,1,709452584,0
0,1993,1,0,7.4,437,2,1228071038,2.128231706
0,1993,1,4,4.24,437,5,1228071038,1.656321498
0,1993,1,5,4.13,437,1,1228071038,1.635105659
0,1993,1,1,3.91,437,0,1228071038,1.591273942
0,1993,0,0,3.51,437,2,1228071038,1.506297154
0,1993,1,2,2.85,437,0,1228071038,1.348073148
0,1993,0,1,2.67,437,0,1228071038,1.300191662
0,1993,0,2,2.11,437,0,1228071038,1.134622726
0,1993,0,4,1.18,437,5,1228071038,0.779324877
0,1993,0,3,0.29,437,4,1228071038,0.254642218
0,1993,1,3,0.27,437,4,1228071038,0.2390169
0,1993,0,5,0,437,1,1228071038,0
0,1994,1,5,8.13,697,1,1985673798,2.211565695
0,1994,1,4,6.42,697,5,1985673798,2.004179057
0,1994,0,5,5.01,697,1,1985673798,1.793424749
0,1994,1,1,2.59,697,0,1985673798,1.278152203
0,1994,1,2,2.48,697,0,1985673798,1.247032294
0,1994,1,0,2.48,697,2,1985673798,1.247032294
0,1994,0,0,2.12,697,2,1985673798,1.137833002
0,1994,0,1,1.53,697,0,1985673798,0.928219303
0,1994,0,2,0.58,697,0,1985673798,0.457424847
0,1994,0,4,0.57,697,5,1985673798,0.451075619
0,1994,1,3,0.27,697,4,1985673798,0.2390169
0,1994,0,3,0,697,4,1985673798,0
0,1995,1,1,5.58,835,2,1870468287,1.884034745
0,1995,1,4,5.06,835,5,1870468287,1.8017098
0,1995,0,5,4.9,835,1,1870468287,1.774952351
0,1995,0,0,4.59,835,2,1870468287,1.720979287
0,1995,1,0,4.56,835,2,1870468287,1.715598108
0,1995,1,5,3.98,835,1,1870468287,1.605429891
0,1995,1,2,3.72,835,0,1870468287,1.5518088
0,1995,0,1,2.65,835,2,1870468287,1.294727168
0,1995,0,2,2.24,835,0,1870468287,1.17557333
0,1995,1,3,1.59,835,4,1870468287,0.951657876
0,1995,0,4,1.11,835,5,1870468287,0.746687947
0,1995,0,3,0.57,835,4,1870468287,0.451075619
0,1996,1,5,7.87,1127,1,980069004,2.182674796
0,1996,1,0,6.98,1127,2,980069004,2.076938411
0,1996,1,1,5.95,1127,2,980069004,1.93874166
0,1996,0,0,5.56,1127,2,980069004,1.880990603
0,1996,0,5,4.85,1127,1,980069004,1.766441661
0,1996,0,1,3.73,1127,2,980069004,1.553925203
0,1996,1,2,3.16,1127,0,980069004,1.425515074
0,1996,0,2,2.49,1127,0,980069004,1.249901736
0,1996,1,4,1.67,1127,5,980069004,0.982078472
0,1996,0,4,0.55,1127,5,980069004,0.438254931
0,1996,1,3,0.53,1127,4,980069004,0.425267735
0,1996,0,3,0.28,1127,4,980069004,0.246860078
0,1997,1,1,15.25,793,2,1935064188,2.788092909
0,1997,1,0,13.5,793,2,1935064188,2.674148649
0,1997,1,5,11.81,793,1,1935064188,2.550226116
0,1997,1,2,7.88,793,0,1935064188,2.183801557
0,1997,0,0,7.14,793,2,1935064188,2.09679018
0,1997,1,4,6.66,793,5,1935064188,2.036011984
0,1997,0,1,5.84,793,2,1935064188,1.922787732
0,1997,0,5,4.75,793,1,1935064188,1.749199855
0,1997,0,2,1.89,793,0,1935064188,1.061256502
0,1997,0,3,1.66,793,4,1935064188,0.978326123
0,1997,1,3,1.05,793,4,1935064188,0.717839793
0,1997,0,4,0,793,5,1935064188,0
0,1998,1,5,11.63,899,1,1587843524,2.536074936
0,1998,1,0,10.85,899,2,1587843524,2.472327868
0,1998,0,0,10.83,899,2,1587843524,2.470638678
0,1998,1,1,10.82,899,2,1587843524,2.469793012
0,1998,1,2,7.47,899,0,1587843524,2.136530509
0,1998,1,4,4.9,899,5,1587843524,1.774952351
0,1998,0,1,3.63,899,2,1587843524,1.532556868
0,1998,0,4,3.19,899,5,1587843524,1.432700734
0,1998,0,2,2.42,899,0,1587843524,1.229640551
0,1998,1,3,0.51,899,4,1587843524,0.412109651
0,1998,0,3,0.27,899,4,1587843524,0.2390169
0,1998,0,5,0,899,1,1587843524,0
0,1999,1,5,11.58,1127,1,880206381,2.532108251
0,1999,1,0,9.58,1127,2,880206381,2.358965426
0,1999,0,5,9.43,1127,1,880206381,2.344686269
0,1999,1,2,7.93,1127,0,880206381,2.189416395
0,1999,1,1,7.84,1127,2,880206381,2.179286877
